index_all,info.dates,info.gender,info.match_type,info.outcome.by.runs,info.outcome.by.wickets,info.outcome.result,info.outcome.winner,info.player_of_match,info.teams,info.toss.decision,info.toss.winner,info.venue
631,"[datetime.date(2007, 2, 9)]",male,ODI,,4,,England,['PD Collingwood'],"['Australia', 'England']",bat,Australia,Melbourne Cricket Ground
632,"[datetime.date(2007, 2, 11)]",male,ODI,34,,,England,,"['Australia', 'England']",bat,England,Sydney Cricket Ground
633,"[datetime.date(2006, 8, 12)]",male,ODI,,6,,Bangladesh,['Mashrafe Mortaza'],"['Kenya', 'Bangladesh']",field,Bangladesh,Gymkhana Club Ground
634,"[datetime.date(2006, 8, 13)]",male,ODI,,2,,Bangladesh,['Mashrafe Mortaza'],"['Kenya', 'Bangladesh']",bat,Kenya,Gymkhana Club Ground
635,"[datetime.date(2006, 8, 15)]",male,ODI,,6,,Bangladesh,['Mashrafe Mortaza'],"['Kenya', 'Bangladesh']",field,Bangladesh,Gymkhana Club Ground
636,"[datetime.date(2006, 10, 7)]",male,ODI,37,,,Sri Lanka,['WU Tharanga'],"['Bangladesh', 'Sri Lanka']",field,Bangladesh,"Punjab Cricket Association Stadium, Mohali"
637,"[datetime.date(2006, 10, 8)]",male,ODI,,9,,West Indies,['CH Gayle'],"['West Indies', 'Zimbabwe']",bat,Zimbabwe,"Sardar Patel Stadium, Motera"
638,"[datetime.date(2006, 10, 10)]",male,ODI,144,,,Sri Lanka,['WU Tharanga'],"['Sri Lanka', 'Zimbabwe']",bat,Sri Lanka,"Sardar Patel Stadium, Motera"
639,"[datetime.date(2006, 10, 11)]",male,ODI,,10,,West Indies,['CH Gayle'],"['Bangladesh', 'West Indies']",bat,Bangladesh,Sawai Mansingh Stadium
640,"[datetime.date(2006, 10, 13)]",male,ODI,101,,,Bangladesh,['Shahriar Nafees'],"['Bangladesh', 'Zimbabwe']",field,Zimbabwe,Sawai Mansingh Stadium
641,"[datetime.date(2006, 10, 14)]",male,ODI,,9,,Sri Lanka,['MF Maharoof'],"['Sri Lanka', 'West Indies']",bat,West Indies,Brabourne Stadium
642,"[datetime.date(2006, 10, 15)]",male,ODI,,4,,India,['MM Patel'],"['India', 'England']",field,India,Sawai Mansingh Stadium
643,"[datetime.date(2006, 10, 16)]",male,ODI,87,,,New Zealand,['SP Fleming'],"['New Zealand', 'South Africa']",field,South Africa,Brabourne Stadium
