index_all,info.dates,info.gender,info.match_type,info.outcome.by.runs,info.outcome.by.wickets,info.outcome.result,info.outcome.winner,info.player_of_match,info.teams,info.toss.decision,info.toss.winner,info.venue
1,"[datetime.date(2016, 11, 3), datetime.date(2016, 11, 4), datetime.date(2016, 11, 5), datetime.date(2016, 11, 6), datetime.date(2016, 11, 7)]",male,Test,177,,,South Africa,['K Rabada'],"['Australia', 'South Africa']",bat,South Africa,Western Australia Cricket Association Ground
2,"[datetime.date(2016, 11, 12), datetime.date(2016, 11, 13), datetime.date(2016, 11, 14), datetime.date(2016, 11, 15)]",male,Test,80,,,South Africa,['KJ Abbott'],"['Australia', 'South Africa']",field,South Africa,Bellerive Oval
3,"[datetime.date(2016, 11, 24), datetime.date(2016, 11, 25), datetime.date(2016, 11, 26), datetime.date(2016, 11, 27)]",male,Test,,7,,Australia,['UT Khawaja'],"['Australia', 'South Africa']",bat,South Africa,Adelaide Oval
4,"[datetime.date(2016, 12, 15), datetime.date(2016, 12, 16), datetime.date(2016, 12, 17), datetime.date(2016, 12, 18), datetime.date(2016, 12, 19)]",male,Test,39,,,Australia,['Asad Shafiq'],"['Australia', 'Pakistan']",bat,Australia,"Brisbane Cricket Ground, Woolloongabba"
5,"[datetime.date(2016, 12, 26), datetime.date(2016, 12, 27), datetime.date(2016, 12, 28), datetime.date(2016, 12, 29), datetime.date(2016, 12, 30)]",male,Test,18,,,Australia,['SPD Smith'],"['Australia', 'Pakistan']",bat,Pakistan,Melbourne Cricket Ground
6,"[datetime.date(2017, 1, 3), datetime.date(2017, 1, 4), datetime.date(2017, 1, 5), datetime.date(2017, 1, 6), datetime.date(2017, 1, 7)]",male,Test,220,,,Australia,['DA Warner'],"['Australia', 'Pakistan']",bat,Australia,Sydney Cricket Ground
7,"[datetime.date(2017, 1, 13)]",male,ODI,92,,,Australia,['MS Wade'],"['Australia', 'Pakistan']",bat,Australia,"Brisbane Cricket Ground, Woolloongabba"
8,"[datetime.date(2017, 1, 15)]",male,ODI,,6,,Pakistan,['Mohammad Hafeez'],"['Australia', 'Pakistan']",bat,Australia,Melbourne Cricket Ground
9,"[datetime.date(2017, 1, 19)]",male,ODI,,7,,Australia,['SPD Smith'],"['Australia', 'Pakistan']",field,Australia,Western Australia Cricket Association Ground
10,"[datetime.date(2017, 1, 22)]",male,ODI,86,,,Australia,['DA Warner'],"['Australia', 'Pakistan']",bat,Australia,Sydney Cricket Ground
11,"[datetime.date(2017, 1, 26)]",male,ODI,57,,,Australia,['DA Warner'],"['Australia', 'Pakistan']",bat,Australia,Adelaide Oval
12,"[datetime.date(2017, 2, 17)]",male,T20,,5,,Sri Lanka,['DAS Gunaratne'],"['Australia', 'Sri Lanka']",field,Sri Lanka,Melbourne Cricket Ground
13,"[datetime.date(2017, 2, 19)]",male,T20,,2,,Sri Lanka,['DAS Gunaratne'],"['Australia', 'Sri Lanka']",field,Sri Lanka,"Simonds Stadium, South Geelong"
14,"[datetime.date(2017, 2, 22)]",male,T20,41,,,Australia,['A Zampa'],"['Australia', 'Sri Lanka']",field,Sri Lanka,Adelaide Oval
15,"[datetime.date(2016, 12, 4)]",male,ODI,68,,,Australia,['SPD Smith'],"['Australia', 'New Zealand']",bat,Australia,Sydney Cricket Ground
16,"[datetime.date(2016, 12, 6)]",male,ODI,116,,,Australia,['DA Warner'],"['Australia', 'New Zealand']",field,New Zealand,Manuka Oval
17,"[datetime.date(2016, 12, 9)]",male,ODI,117,,,Australia,['DA Warner'],"['Australia', 'New Zealand']",bat,Australia,Melbourne Cricket Ground
18,"[datetime.date(2016, 7, 4)]",male,ODI,,,no result,,,"['Scotland', 'Afghanistan']",field,Scotland,"Grange Cricket Club Ground, Raeburn Place"
19,"[datetime.date(2016, 7, 6)]",male,ODI,78,,,Afghanistan,,"['Scotland', 'Afghanistan']",bat,Afghanistan,"Grange Cricket Club Ground, Raeburn Place"
20,"[datetime.date(2016, 10, 16), datetime.date(2016, 10, 17), datetime.date(2016, 10, 18), datetime.date(2016, 10, 19)]",male,MDM,199,,,Papua New Guinea,,"['Papua New Guinea', 'Namibia']",bat,Papua New Guinea,Amini Park
21,"[datetime.date(2016, 10, 21)]",male,ODM,,5,,Papua New Guinea,,"['Papua New Guinea', 'Namibia']",bat,Namibia,Amini Park
22,"[datetime.date(2016, 10, 23)]",male,ODM,,6,,Papua New Guinea,,"['Papua New Guinea', 'Namibia']",bat,Namibia,Amini Park
23,"[datetime.date(2016, 8, 13)]",male,ODM,,7,,Netherlands,,"['Netherlands', 'Nepal']",field,Netherlands,VRA Ground
24,"[datetime.date(2016, 11, 20)]",male,ODM,39,,,Hong Kong,['Babar Hayat'],"['Kenya', 'Hong Kong']",field,Kenya,Gymkhana Club Ground
25,"[datetime.date(2016, 7, 29), datetime.date(2016, 7, 30)]",male,MDM,36,,,Afghanistan,,"['Netherlands', 'Afghanistan']",field,Afghanistan,Sportpark Westvliet
26,"[datetime.date(2016, 9, 8)]",male,ODI,,,no result,,,"['Scotland', 'Hong Kong']",field,Hong Kong,"Grange Cricket Club Ground, Raeburn Place"
27,"[datetime.date(2016, 9, 10)]",male,ODI,53,,,Scotland,,"['Scotland', 'Hong Kong']",bat,Scotland,"Grange Cricket Club Ground, Raeburn Place"
28,"[datetime.date(2016, 9, 5)]",male,T20,40,,,Hong Kong,,"['Ireland', 'Hong Kong']",bat,Hong Kong,"Bready Cricket Club, Magheramason"
29,"[datetime.date(2016, 6, 11)]",male,ODI,,9,,India,['KL Rahul'],"['Zimbabwe', 'India']",field,India,Harare Sports Club
30,"[datetime.date(2016, 6, 13)]",male,ODI,,8,,India,['YS Chahal'],"['Zimbabwe', 'India']",field,India,Harare Sports Club
31,"[datetime.date(2016, 6, 15)]",male,ODI,,10,,India,['KL Rahul'],"['Zimbabwe', 'India']",bat,Zimbabwe,Harare Sports Club
32,"[datetime.date(2016, 6, 18)]",male,T20,2,,,Zimbabwe,['E Chigumbura'],"['Zimbabwe', 'India']",field,India,Harare Sports Club
33,"[datetime.date(2016, 6, 20)]",male,T20,,10,,India,['BB Sran'],"['Zimbabwe', 'India']",bat,Zimbabwe,Harare Sports Club
34,"[datetime.date(2016, 6, 22)]",male,T20,3,,,India,['KM Jadhav'],"['Zimbabwe', 'India']",field,Zimbabwe,Harare Sports Club
35,"[datetime.date(2016, 5, 28)]",male,ODM,,6,,Papua New Guinea,,"['Papua New Guinea', 'Kenya']",bat,Kenya,Amini Park
36,"[datetime.date(2016, 5, 30)]",male,ODM,21,,,Papua New Guinea,,"['Papua New Guinea', 'Kenya']",bat,Papua New Guinea,Amini Park
37,"[datetime.date(2016, 12, 26)]",male,ODI,77,,,New Zealand,['TWM Latham'],"['New Zealand', 'Bangladesh']",bat,New Zealand,Hagley Oval
38,"[datetime.date(2016, 12, 29)]",male,ODI,67,,,New Zealand,['NT Broom'],"['New Zealand', 'Bangladesh']",field,Bangladesh,Saxton Oval
39,"[datetime.date(2016, 12, 31)]",male,ODI,,8,,New Zealand,['KS Williamson'],"['New Zealand', 'Bangladesh']",bat,Bangladesh,Saxton Oval
40,"[datetime.date(2017, 1, 3)]",male,T20,,6,,New Zealand,['KS Williamson'],"['New Zealand', 'Bangladesh']",bat,Bangladesh,McLean Park
41,"[datetime.date(2017, 1, 6)]",male,T20,47,,,New Zealand,['C Munro'],"['New Zealand', 'Bangladesh']",field,Bangladesh,Bay Oval
42,"[datetime.date(2017, 1, 8)]",male,T20,27,,,New Zealand,['CJ Anderson'],"['New Zealand', 'Bangladesh']",field,Bangladesh,Bay Oval
43,"[datetime.date(2017, 1, 12), datetime.date(2017, 1, 13), datetime.date(2017, 1, 14), datetime.date(2017, 1, 15), datetime.date(2017, 1, 16)]",male,Test,,7,,New Zealand,['TWM Latham'],"['New Zealand', 'Bangladesh']",field,New Zealand,Basin Reserve
44,"[datetime.date(2017, 1, 20), datetime.date(2017, 1, 21), datetime.date(2017, 1, 22), datetime.date(2017, 1, 23)]",male,Test,,9,,New Zealand,['TG Southee'],"['New Zealand', 'Bangladesh']",field,New Zealand,Hagley Oval
45,"[datetime.date(2016, 11, 17), datetime.date(2016, 11, 18), datetime.date(2016, 11, 19), datetime.date(2016, 11, 20)]",male,Test,,8,,New Zealand,['C de Grandhomme'],"['New Zealand', 'Pakistan']",field,New Zealand,Hagley Oval
46,"[datetime.date(2016, 11, 25), datetime.date(2016, 11, 26), datetime.date(2016, 11, 27), datetime.date(2016, 11, 28), datetime.date(2016, 11, 29)]",male,Test,138,,,New Zealand,['TG Southee'],"['New Zealand', 'Pakistan']",field,Pakistan,Seddon Park
47,"[datetime.date(2017, 1, 30)]",male,ODI,6,,,New Zealand,['MP Stoinis'],"['New Zealand', 'Australia']",field,Australia,Eden Park
48,"[datetime.date(2017, 2, 5)]",male,ODI,24,,,New Zealand,['TA Boult'],"['New Zealand', 'Australia']",bat,New Zealand,Seddon Park
49,"[datetime.date(2017, 2, 17)]",male,T20,78,,,South Africa,['Imran Tahir'],"['New Zealand', 'South Africa']",field,New Zealand,Eden Park
50,"[datetime.date(2017, 2, 19)]",male,ODI,,4,,South Africa,['Q de Kock'],"['New Zealand', 'South Africa']",field,South Africa,Seddon Park
51,"[datetime.date(2017, 2, 22)]",male,ODI,6,,,New Zealand,['LRPL Taylor'],"['New Zealand', 'South Africa']",field,South Africa,Hagley Oval
52,"[datetime.date(2017, 2, 25)]",male,ODI,159,,,South Africa,['AB de Villiers'],"['New Zealand', 'South Africa']",bat,South Africa,Westpac Stadium
53,"[datetime.date(2017, 3, 1)]",male,ODI,,7,,New Zealand,['MJ Guptill'],"['New Zealand', 'South Africa']",bat,South Africa,Seddon Park
54,"[datetime.date(2017, 3, 4)]",male,ODI,,6,,South Africa,['K Rabada'],"['New Zealand', 'South Africa']",field,South Africa,Eden Park
55,"[datetime.date(2017, 3, 8), datetime.date(2017, 3, 9), datetime.date(2017, 3, 10), datetime.date(2017, 3, 11), datetime.date(2017, 3, 12)]",male,Test,,,draw,,['D Elgar'],"['New Zealand', 'South Africa']",bat,South Africa,University Oval
56,"[datetime.date(2017, 3, 16), datetime.date(2017, 3, 17), datetime.date(2017, 3, 18)]",male,Test,,8,,South Africa,['KA Maharaj'],"['New Zealand', 'South Africa']",field,South Africa,Basin Reserve
57,"[datetime.date(2017, 3, 25), datetime.date(2017, 3, 26), datetime.date(2017, 3, 27), datetime.date(2017, 3, 28), datetime.date(2017, 3, 29)]",male,Test,,,draw,,['KS Williamson'],"['New Zealand', 'South Africa']",bat,South Africa,Seddon Park
58,"[datetime.date(2017, 6, 1)]",male,ODI,,8,,England,['JE Root'],"['England', 'Bangladesh']",field,England,Kennington Oval
59,"[datetime.date(2017, 6, 2)]",male,ODI,,,no result,,,"['Australia', 'New Zealand']",bat,New Zealand,Edgbaston
60,"[datetime.date(2017, 6, 3)]",male,ODI,96,,,South Africa,['Imran Tahir'],"['South Africa', 'Sri Lanka']",field,Sri Lanka,Kennington Oval
61,"[datetime.date(2017, 6, 4)]",male,ODI,124,,,India,['Yuvraj Singh'],"['India', 'Pakistan']",field,Pakistan,Edgbaston
62,"[datetime.date(2017, 6, 5)]",male,ODI,,,no result,,,"['Australia', 'Bangladesh']",bat,Bangladesh,Kennington Oval
63,"[datetime.date(2017, 6, 6)]",male,ODI,87,,,England,['JT Ball'],"['England', 'New Zealand']",field,New Zealand,Sophia Gardens
64,"[datetime.date(2017, 6, 7)]",male,ODI,19,,,Pakistan,['Hasan Ali'],"['Pakistan', 'South Africa']",bat,South Africa,Edgbaston
65,"[datetime.date(2017, 6, 8)]",male,ODI,,7,,Sri Lanka,['BKG Mendis'],"['India', 'Sri Lanka']",field,Sri Lanka,Kennington Oval
66,"[datetime.date(2017, 6, 9)]",male,ODI,,5,,Bangladesh,['Shakib Al Hasan'],"['Bangladesh', 'New Zealand']",bat,New Zealand,Sophia Gardens
67,"[datetime.date(2017, 6, 10)]",male,ODI,40,,,England,['BA Stokes'],"['England', 'Australia']",field,England,Edgbaston
68,"[datetime.date(2017, 6, 11)]",male,ODI,,8,,India,['JJ Bumrah'],"['India', 'South Africa']",field,India,Kennington Oval
69,"[datetime.date(2017, 6, 12)]",male,ODI,,3,,Pakistan,['Sarfraz Ahmed'],"['Pakistan', 'Sri Lanka']",field,Pakistan,Sophia Gardens
70,"[datetime.date(2017, 6, 14)]",male,ODI,,8,,Pakistan,['Hasan Ali'],"['England', 'Pakistan']",field,Pakistan,Sophia Gardens
71,"[datetime.date(2017, 6, 15)]",male,ODI,,9,,India,['RG Sharma'],"['Bangladesh', 'India']",field,India,Edgbaston
72,"[datetime.date(2017, 6, 18)]",male,ODI,180,,,Pakistan,['Fakhar Zaman'],"['India', 'Pakistan']",field,India,Kennington Oval
73,"[datetime.date(2016, 7, 21), datetime.date(2016, 7, 22), datetime.date(2016, 7, 23), datetime.date(2016, 7, 24)]",male,Test,92,,,India,['R Ashwin'],"['West Indies', 'India']",bat,India,"Sir Vivian Richards Stadium, North Sound"
74,"[datetime.date(2016, 7, 30), datetime.date(2016, 7, 31), datetime.date(2016, 8, 1), datetime.date(2016, 8, 2), datetime.date(2016, 8, 3)]",male,Test,,,draw,,['RL Chase'],"['West Indies', 'India']",bat,West Indies,"Sabina Park, Kingston"
75,"[datetime.date(2016, 8, 9), datetime.date(2016, 8, 10), datetime.date(2016, 8, 11), datetime.date(2016, 8, 12), datetime.date(2016, 8, 13)]",male,Test,237,,,India,['R Ashwin'],"['West Indies', 'India']",field,West Indies,"Darren Sammy National Cricket Stadium, Gros Islet"
76,"[datetime.date(2016, 8, 18), datetime.date(2016, 8, 19), datetime.date(2016, 8, 20), datetime.date(2016, 8, 21), datetime.date(2016, 8, 22)]",male,Test,,,draw,,,"['West Indies', 'India']",bat,West Indies,"Queen's Park Oval, Port of Spain"
77,"[datetime.date(2016, 12, 20)]",male,T20,,9,,Sydney Sixers,['MC Henriques'],"['Sydney Thunder', 'Sydney Sixers']",field,Sydney Sixers,Sydney Showground Stadium
78,"[datetime.date(2016, 12, 21)]",male,T20,10,,,Brisbane Heat,['BB McCullum'],"['Adelaide Strikers', 'Brisbane Heat']",field,Adelaide Strikers,Adelaide Oval
79,"[datetime.date(2016, 12, 22)]",male,T20,49,,,Melbourne Renegades,['AJ Finch'],"['Melbourne Renegades', 'Sydney Thunder']",field,Sydney Thunder,Docklands Stadium
80,"[datetime.date(2016, 12, 23)]",male,T20,60,,,Hobart Hurricanes,['DJM Short'],"['Sydney Sixers', 'Hobart Hurricanes']",field,Sydney Sixers,Sydney Cricket Ground
81,"[datetime.date(2016, 12, 23)]",male,T20,48,,,Perth Scorchers,['AJ Turner'],"['Perth Scorchers', 'Adelaide Strikers']",field,Adelaide Strikers,Western Australia Cricket Association Ground
82,"[datetime.date(2016, 12, 26)]",male,T20,,7,,Melbourne Stars,['RJ Quiney'],"['Hobart Hurricanes', 'Melbourne Stars']",bat,Hobart Hurricanes,Bellerive Oval
83,"[datetime.date(2016, 12, 27)]",male,T20,,6,,Sydney Sixers,['J Botha'],"['Sydney Sixers', 'Perth Scorchers']",bat,Perth Scorchers,Sydney Cricket Ground
84,"[datetime.date(2016, 12, 28)]",male,T20,,3,,Brisbane Heat,['CA Lynn'],"['Sydney Thunder', 'Brisbane Heat']",field,Brisbane Heat,Sydney Showground Stadium
85,"[datetime.date(2016, 12, 29)]",male,T20,,4,,Perth Scorchers,['M Klinger'],"['Melbourne Renegades', 'Perth Scorchers']",field,Perth Scorchers,Docklands Stadium
86,"[datetime.date(2016, 12, 30)]",male,T20,,7,,Brisbane Heat,['CA Lynn'],"['Brisbane Heat', 'Hobart Hurricanes']",field,Brisbane Heat,"Brisbane Cricket Ground, Woolloongabba"
87,"[datetime.date(2016, 12, 31)]",male,T20,48,,,Adelaide Strikers,['SA Abbott'],"['Adelaide Strikers', 'Sydney Sixers']",field,Sydney Sixers,Adelaide Oval
88,"[datetime.date(2017, 1, 1)]",male,T20,7,,,Melbourne Renegades,['GB Hogg'],"['Melbourne Stars', 'Melbourne Renegades']",field,Melbourne Stars,Melbourne Cricket Ground
89,"[datetime.date(2017, 1, 1)]",male,T20,50,,,Perth Scorchers,['MR Marsh'],"['Perth Scorchers', 'Sydney Thunder']",field,Sydney Thunder,Western Australia Cricket Association Ground
90,"[datetime.date(2017, 1, 2)]",male,T20,,8,,Hobart Hurricanes,['DT Christian'],"['Hobart Hurricanes', 'Adelaide Strikers']",field,Hobart Hurricanes,Bellerive Oval
91,"[datetime.date(2017, 1, 3)]",male,T20,,3,,Sydney Sixers,['DP Hughes'],"['Brisbane Heat', 'Sydney Sixers']",field,Sydney Sixers,"Brisbane Cricket Ground, Woolloongabba"
92,"[datetime.date(2017, 1, 4)]",male,T20,,6,,Sydney Thunder,['EJG Morgan'],"['Sydney Thunder', 'Melbourne Stars']",field,Sydney Thunder,Sydney Showground Stadium
93,"[datetime.date(2017, 1, 5)]",male,T20,,9,,Brisbane Heat,['CA Lynn'],"['Perth Scorchers', 'Brisbane Heat']",bat,Perth Scorchers,Western Australia Cricket Association Ground
94,"[datetime.date(2017, 1, 6)]",male,T20,,5,,Adelaide Strikers,['BR Dunk'],"['Adelaide Strikers', 'Hobart Hurricanes']",field,Adelaide Strikers,Adelaide Oval
95,"[datetime.date(2017, 1, 7)]",male,T20,46,,,Melbourne Stars,['A Zampa'],"['Melbourne Renegades', 'Melbourne Stars']",field,Melbourne Renegades,Docklands Stadium
96,"[datetime.date(2017, 1, 8)]",male,T20,,6,,Sydney Thunder,['SR Watson'],"['Hobart Hurricanes', 'Sydney Thunder']",field,Sydney Thunder,Bellerive Oval
97,"[datetime.date(2017, 1, 9)]",male,T20,,6,,Sydney Sixers,['BJ Haddin'],"['Sydney Sixers', 'Melbourne Renegades']",bat,Melbourne Renegades,Sydney Cricket Ground
98,"[datetime.date(2017, 1, 10)]",male,T20,,2,,Melbourne Stars,['BW Hilfenhaus'],"['Melbourne Stars', 'Adelaide Strikers']",field,Melbourne Stars,Melbourne Cricket Ground
99,"[datetime.date(2017, 1, 11)]",male,T20,27,,,Perth Scorchers,['M Klinger'],"['Brisbane Heat', 'Perth Scorchers']",field,Brisbane Heat,"Brisbane Cricket Ground, Woolloongabba"
100,"[datetime.date(2017, 1, 12)]",male,T20,,2,,Hobart Hurricanes,['BR McDermott'],"['Melbourne Renegades', 'Hobart Hurricanes']",field,Hobart Hurricanes,Docklands Stadium
101,"[datetime.date(2017, 1, 14)]",male,T20,,8,,Sydney Thunder,['Fawad Ahmed'],"['Sydney Sixers', 'Sydney Thunder']",bat,Sydney Sixers,Sydney Cricket Ground
102,"[datetime.date(2017, 1, 14)]",male,T20,,7,,Melbourne Stars,['MA Beer'],"['Perth Scorchers', 'Melbourne Stars']",bat,Perth Scorchers,Western Australia Cricket Association Ground
103,"[datetime.date(2017, 1, 16)]",male,T20,6,,,Melbourne Renegades,['MS Harris'],"['Adelaide Strikers', 'Melbourne Renegades']",field,Adelaide Strikers,Adelaide Oval
104,"[datetime.date(2017, 1, 17)]",male,T20,,7,,Brisbane Heat,['MJ Swepson'],"['Melbourne Stars', 'Brisbane Heat']",bat,Melbourne Stars,Melbourne Cricket Ground
105,"[datetime.date(2017, 1, 18)]",male,T20,77,,,Adelaide Strikers,['IS Sodhi'],"['Sydney Thunder', 'Adelaide Strikers']",field,Sydney Thunder,Sydney Showground Stadium
106,"[datetime.date(2017, 1, 20)]",male,T20,1,,,Melbourne Renegades,['AJ Finch'],"['Brisbane Heat', 'Melbourne Renegades']",field,Brisbane Heat,"Brisbane Cricket Ground, Woolloongabba"
107,"[datetime.date(2017, 1, 21)]",male,T20,,7,,Perth Scorchers,['SE Marsh'],"['Hobart Hurricanes', 'Perth Scorchers']",field,Perth Scorchers,Bellerive Oval
108,"[datetime.date(2017, 1, 21)]",male,T20,,3,,Sydney Sixers,['SA Abbott'],"['Melbourne Stars', 'Sydney Sixers']",field,Sydney Sixers,Melbourne Cricket Ground
109,"[datetime.date(2017, 1, 24)]",male,T20,,7,,Perth Scorchers,['MG Johnson'],"['Perth Scorchers', 'Melbourne Stars']",field,Perth Scorchers,Western Australia Cricket Association Ground
110,"[datetime.date(2017, 1, 25)]",male,T20,,,tie,,['MC Henriques'],"['Brisbane Heat', 'Sydney Sixers']",field,Sydney Sixers,"Brisbane Cricket Ground, Woolloongabba"
111,"[datetime.date(2017, 1, 28)]",male,T20,,9,,Perth Scorchers,['JA Richardson'],"['Perth Scorchers', 'Sydney Sixers']",field,Perth Scorchers,Western Australia Cricket Association Ground
112,"[datetime.date(2016, 7, 28), datetime.date(2016, 7, 29), datetime.date(2016, 7, 30), datetime.date(2016, 7, 31)]",male,Test,117,,,New Zealand,['LRPL Taylor'],"['Zimbabwe', 'New Zealand']",bat,Zimbabwe,Queens Sports Club
113,"[datetime.date(2016, 8, 6), datetime.date(2016, 8, 7), datetime.date(2016, 8, 8), datetime.date(2016, 8, 9), datetime.date(2016, 8, 10)]",male,Test,254,,,New Zealand,['KS Williamson'],"['Zimbabwe', 'New Zealand']",bat,New Zealand,Queens Sports Club
114,"[datetime.date(2016, 11, 4)]",male,ODI,106,,,Hong Kong,['Babar Hayat'],"['Hong Kong', 'Papua New Guinea']",bat,Hong Kong,"Mission Road Ground, Mong Kok"
115,"[datetime.date(2016, 11, 6)]",male,ODI,14,,,Papua New Guinea,['CA Soper'],"['Hong Kong', 'Papua New Guinea']",bat,Papua New Guinea,"Mission Road Ground, Mong Kok"
116,"[datetime.date(2016, 11, 8)]",male,ODI,,7,,Hong Kong,['Anshuman Rath'],"['Hong Kong', 'Papua New Guinea']",bat,Papua New Guinea,"Mission Road Ground, Mong Kok"
117,"[datetime.date(2017, 3, 3)]",male,ODI,45,,,England,['EJG Morgan'],"['West Indies', 'England']",field,West Indies,"Sir Vivian Richards Stadium, North Sound"
118,"[datetime.date(2017, 3, 5)]",male,ODI,,4,,England,['JE Root'],"['West Indies', 'England']",bat,West Indies,"Sir Vivian Richards Stadium, North Sound"
119,"[datetime.date(2017, 3, 9)]",male,ODI,186,,,England,['AD Hales'],"['West Indies', 'England']",field,West Indies,"Kensington Oval, Bridgetown"
120,"[datetime.date(2017, 5, 5)]",male,ODI,,7,,England,['AU Rashid'],"['England', 'Ireland']",bat,Ireland,County Ground
121,"[datetime.date(2017, 5, 7)]",male,ODI,85,,,England,['JE Root'],"['England', 'Ireland']",field,Ireland,Lord's
122,"[datetime.date(2016, 10, 7)]",male,ODI,21,,,England,['JT Ball'],"['Bangladesh', 'England']",bat,England,Shere Bangla National Stadium
123,"[datetime.date(2016, 10, 9)]",male,ODI,34,,,Bangladesh,['Mashrafe Mortaza'],"['Bangladesh', 'England']",field,England,Shere Bangla National Stadium
124,"[datetime.date(2016, 10, 12)]",male,ODI,,4,,England,['AU Rashid'],"['Bangladesh', 'England']",field,England,Zahur Ahmed Chowdhury Stadium
125,"[datetime.date(2016, 10, 20), datetime.date(2016, 10, 21), datetime.date(2016, 10, 22), datetime.date(2016, 10, 23), datetime.date(2016, 10, 24)]",male,Test,22,,,England,['BA Stokes'],"['Bangladesh', 'England']",bat,England,Zahur Ahmed Chowdhury Stadium
126,"[datetime.date(2016, 10, 28), datetime.date(2016, 10, 29), datetime.date(2016, 10, 30)]",male,Test,108,,,Bangladesh,['Mehedi Hasan Miraz'],"['Bangladesh', 'England']",bat,Bangladesh,Shere Bangla National Stadium
127,"[datetime.date(2016, 9, 22), datetime.date(2016, 9, 23), datetime.date(2016, 9, 24), datetime.date(2016, 9, 25), datetime.date(2016, 9, 26)]",male,Test,197,,,India,['RA Jadeja'],"['India', 'New Zealand']",bat,India,Green Park
128,"[datetime.date(2016, 9, 30), datetime.date(2016, 10, 1), datetime.date(2016, 10, 2), datetime.date(2016, 10, 3)]",male,Test,178,,,India,['WP Saha'],"['India', 'New Zealand']",bat,India,Eden Gardens
129,"[datetime.date(2016, 10, 8), datetime.date(2016, 10, 9), datetime.date(2016, 10, 10), datetime.date(2016, 10, 11)]",male,Test,321,,,India,['R Ashwin'],"['India', 'New Zealand']",bat,India,Holkar Cricket Stadium
130,"[datetime.date(2016, 10, 16)]",male,ODI,,6,,India,['HH Pandya'],"['India', 'New Zealand']",field,India,Himachal Pradesh Cricket Association Stadium
131,"[datetime.date(2016, 10, 20)]",male,ODI,6,,,New Zealand,['KS Williamson'],"['India', 'New Zealand']",field,India,Feroz Shah Kotla
132,"[datetime.date(2016, 10, 23)]",male,ODI,,7,,India,['V Kohli'],"['India', 'New Zealand']",field,India,"Punjab Cricket Association Stadium, Mohali"
133,"[datetime.date(2016, 10, 26)]",male,ODI,19,,,New Zealand,['MJ Guptill'],"['India', 'New Zealand']",bat,New Zealand,JSCA International Stadium Complex
134,"[datetime.date(2016, 10, 29)]",male,ODI,190,,,India,['A Mishra'],"['India', 'New Zealand']",bat,India,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
135,"[datetime.date(2017, 5, 24)]",male,ODI,72,,,England,['MM Ali'],"['England', 'South Africa']",field,South Africa,Headingley
136,"[datetime.date(2017, 5, 27)]",male,ODI,2,,,England,['BA Stokes'],"['England', 'South Africa']",field,South Africa,The Rose Bowl
137,"[datetime.date(2017, 5, 29)]",male,ODI,,7,,South Africa,['K Rabada'],"['England', 'South Africa']",field,South Africa,Lord's
138,"[datetime.date(2017, 6, 21)]",male,T20,,9,,England,['JM Bairstow'],"['England', 'South Africa']",bat,South Africa,The Rose Bowl
139,"[datetime.date(2017, 6, 23)]",male,T20,3,,,South Africa,['CH Morris'],"['England', 'South Africa']",field,England,County Ground
140,"[datetime.date(2017, 6, 25)]",male,T20,19,,,England,['DJ Malan'],"['England', 'South Africa']",field,South Africa,Sophia Gardens
141,"[datetime.date(2017, 7, 6), datetime.date(2017, 7, 7), datetime.date(2017, 7, 8), datetime.date(2017, 7, 9)]",male,Test,211,,,England,['MM Ali'],"['England', 'South Africa']",bat,England,Lord's
142,"[datetime.date(2017, 5, 12)]",male,ODI,,,no result,,,"['Ireland', 'Bangladesh']",field,Ireland,Malahide
143,"[datetime.date(2017, 5, 14)]",male,ODI,51,,,New Zealand,['MJ Santner'],"['Ireland', 'New Zealand']",field,Ireland,Malahide
144,"[datetime.date(2017, 5, 17)]",male,ODI,,4,,New Zealand,['JDS Neesham'],"['Bangladesh', 'New Zealand']",field,New Zealand,Clontarf Cricket Club Ground
145,"[datetime.date(2017, 5, 19)]",male,ODI,,8,,Bangladesh,['Mustafizur Rahman'],"['Ireland', 'Bangladesh']",field,Bangladesh,Malahide
146,"[datetime.date(2017, 5, 21)]",male,ODI,190,,,New Zealand,['TWM Latham'],"['Ireland', 'New Zealand']",field,Ireland,Malahide
147,"[datetime.date(2017, 5, 24)]",male,ODI,,5,,Bangladesh,['Mushfiqur Rahim'],"['Bangladesh', 'New Zealand']",field,Bangladesh,Clontarf Cricket Club Ground
148,"[datetime.date(2016, 7, 15)]",female,ODM,,8,,Scotland,,"['Netherlands', 'Scotland']",bat,Netherlands,Garon Park
149,"[datetime.date(2016, 11, 9), datetime.date(2016, 11, 10), datetime.date(2016, 11, 11), datetime.date(2016, 11, 12), datetime.date(2016, 11, 13)]",male,Test,,,draw,,['MM Ali'],"['India', 'England']",bat,England,Saurashtra Cricket Association Stadium
150,"[datetime.date(2016, 11, 17), datetime.date(2016, 11, 18), datetime.date(2016, 11, 19), datetime.date(2016, 11, 20), datetime.date(2016, 11, 21)]",male,Test,246,,,India,['V Kohli'],"['India', 'England']",bat,India,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
